timestamp,aqi,pm25,pm10,no2,o3,co,so2,temp,humidity
2026-01-13 18:50:46.746165,41,41,25,19.2,14.0,0.1,2.6,12,87
2026-01-13 18:50:51.127693,41,41,25,19.2,14.0,0.1,2.6,12,87
2026-01-13 19:01:00.788147,41,41,25,19.2,14.0,0.1,2.6,12,87
2026-01-13 19:31:56.917728,41,41,25,19.2,14.0,0.1,2.6,12,87
2026-01-13 19:32:06.514176,41,41,25,19.2,14.0,0.1,2.6,12,87
2026-01-13 19:40:16.701412,41,41,25,19.2,14.0,0.1,2.6,11,93
2026-01-13 21:25:49.291108,41,41,25,15.6,10.9,0.1,2.6,11,93
2026-01-13 21:46:49.358789,42,42,25,15.6,10.9,0.1,2.6,10,93
2026-01-14 16:24:16.212786,43,43,19,23.8,19.0,0.1,2.6,14,67
2026-01-14 16:25:29.880632,43,43,19,23.8,19.0,0.1,2.6,14,67
2026-01-14 16:39:59.305127,42,42,18,23.8,19.0,0.1,2.6,14,67
